link,time_30,queue_count_max,queue_len_max
221731899#2.168,0 days 07:02:00,1,24.82342102
221731899#2.168,0 days 07:02:30,0,0
221731899#2.168,0 days 07:04:00,0,0
221731899#2.168,0 days 07:05:00,3,74.92990068
221731899#2.168,0 days 07:05:30,0,0
221731899#2.168,0 days 07:06:00,0,0
221731899#2.168,0 days 07:06:30,3,91.19888564
221731899#2.168,0 days 07:07:00,0,0
221731899#2.168,0 days 07:08:00,1,27.85341208
221731899#2.168,0 days 07:08:30,0,0
221731899#2.168,0 days 07:09:30,4,98.62641487
221731899#2.168,0 days 07:10:00,0,0
221731899#2.168,0 days 07:11:00,4,87.20081663
221731899#2.168,0 days 07:11:30,0,0
221731899#2.168,0 days 07:12:00,0,0
221731899#2.168,0 days 07:12:30,3,59.95765606
221731899#2.168,0 days 07:13:00,0,0
221731899#2.168,0 days 07:14:00,1,24.82342102
221731899#2.168,0 days 07:14:30,0,0
221731899#2.168,0 days 07:15:30,2,57.07654934
221731899#2.168,0 days 07:16:00,0,0
221731899#2.168,0 days 07:16:30,0,0
221731899#2.168,0 days 07:17:00,2,54.71513094
221731899#2.168,0 days 07:17:30,0,0
221731899#2.168,0 days 07:18:00,0,0
221731899#2.168,0 days 07:18:30,2,67.05410627
221731899#2.168,0 days 07:19:00,0,0
221731899#2.168,0 days 07:20:00,2,67.84759761
221731899#2.168,0 days 07:20:30,0,0
221731899#2.168,0 days 07:21:30,2,57.25122566
221731899#2.168,0 days 07:22:00,0,0
221731899#2.168,0 days 07:22:30,0,0
221731899#2.168,0 days 07:23:00,3,77.34240595
221731899#2.168,0 days 07:23:30,0,0
221731899#2.168,0 days 07:24:30,2,54.17758139
221731899#2.168,0 days 07:25:00,0,0
221731899#2.168,0 days 07:25:30,1,24.82342102
221731899#2.168,0 days 07:26:00,3,85.13932832
221731899#2.168,0 days 07:26:30,0,0
221731899#2.168,0 days 07:27:00,1,24.82342102
221731899#2.168,0 days 07:27:30,5,106.1763502
221731899#2.168,0 days 07:28:00,0,0
221731899#2.168,0 days 07:28:30,0,0
221731899#2.168,0 days 07:29:30,0,0
