transtime_30sec,Link_ID,%_green,%_amber,%_red
0 days 07:00:00.000000000,-139919720#0,51.72,0,0
0 days 07:00:00.000000000,-23334090#0,100,0,0
0 days 07:00:00.000000000,221723366,51.72,0,0
0 days 07:00:00.000000000,221731899#2.168,100,0,0
0 days 07:00:00.000000000,349154287#5,0,0,0
0 days 07:00:00.000000000,5677903#1,0,0,0
0 days 07:00:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:00:30.000000000,-23334090#0,90,10,0
0 days 07:00:30.000000000,221723366,83.33,10,6.67
0 days 07:00:30.000000000,221731899#2.168,90,10,0
0 days 07:00:30.000000000,349154287#5,0,0,0
0 days 07:00:30.000000000,5677903#1,0,0,0
0 days 07:01:00.000000000,-139919720#0,100,0,0
0 days 07:01:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:01:00.000000000,221723366,100,0,0
0 days 07:01:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:01:00.000000000,349154287#5,40,0,0
0 days 07:01:00.000000000,5677903#1,40,0,0
0 days 07:01:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:01:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:01:30.000000000,221723366,83.33,10,6.67
0 days 07:01:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:01:30.000000000,349154287#5,83.33,10,6.67
0 days 07:01:30.000000000,5677903#1,83.33,10,6.67
0 days 07:02:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:02:00.000000000,-23334090#0,90,10,0
0 days 07:02:00.000000000,221723366,83.33,10,6.67
0 days 07:02:00.000000000,221731899#2.168,90,10,0
0 days 07:02:00.000000000,349154287#5,83.33,10,6.67
0 days 07:02:00.000000000,5677903#1,83.33,10,6.67
0 days 07:02:30.000000000,-139919720#0,100,0,0
0 days 07:02:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:02:30.000000000,221723366,100,0,0
0 days 07:02:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:02:30.000000000,349154287#5,83.33,10,6.67
0 days 07:02:30.000000000,5677903#1,83.33,10,6.67
0 days 07:03:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:03:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:03:00.000000000,221723366,83.33,10,6.67
0 days 07:03:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:03:00.000000000,349154287#5,83.33,10,6.67
0 days 07:03:00.000000000,5677903#1,83.33,10,6.67
0 days 07:03:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:03:30.000000000,-23334090#0,90,10,0
0 days 07:03:30.000000000,221723366,83.33,10,6.67
0 days 07:03:30.000000000,221731899#2.168,90,10,0
0 days 07:03:30.000000000,349154287#5,83.33,10,6.67
0 days 07:03:30.000000000,5677903#1,83.33,10,6.67
0 days 07:04:00.000000000,-139919720#0,100,0,0
0 days 07:04:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:04:00.000000000,221723366,100,0,0
0 days 07:04:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:04:00.000000000,349154287#5,83.33,10,6.67
0 days 07:04:00.000000000,5677903#1,83.33,10,6.67
0 days 07:04:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:04:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:04:30.000000000,221723366,83.33,10,6.67
0 days 07:04:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:04:30.000000000,349154287#5,83.33,10,6.67
0 days 07:04:30.000000000,5677903#1,83.33,10,6.67
0 days 07:05:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:05:00.000000000,-23334090#0,90,10,0
0 days 07:05:00.000000000,221723366,83.33,10,6.67
0 days 07:05:00.000000000,221731899#2.168,90,10,0
0 days 07:05:00.000000000,349154287#5,83.33,10,6.67
0 days 07:05:00.000000000,5677903#1,83.33,10,6.67
0 days 07:05:30.000000000,-139919720#0,100,0,0
0 days 07:05:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:05:30.000000000,221723366,100,0,0
0 days 07:05:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:05:30.000000000,349154287#5,83.33,10,6.67
0 days 07:05:30.000000000,5677903#1,83.33,10,6.67
0 days 07:06:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:06:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:06:00.000000000,221723366,83.33,10,6.67
0 days 07:06:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:06:00.000000000,349154287#5,83.33,10,6.67
0 days 07:06:00.000000000,5677903#1,83.33,10,6.67
0 days 07:06:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:06:30.000000000,-23334090#0,90,10,0
0 days 07:06:30.000000000,221723366,83.33,10,6.67
0 days 07:06:30.000000000,221731899#2.168,90,10,0
0 days 07:06:30.000000000,349154287#5,83.33,10,6.67
0 days 07:06:30.000000000,5677903#1,83.33,10,6.67
0 days 07:07:00.000000000,-139919720#0,100,0,0
0 days 07:07:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:07:00.000000000,221723366,100,0,0
0 days 07:07:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:07:00.000000000,349154287#5,83.33,10,6.67
0 days 07:07:00.000000000,5677903#1,83.33,10,6.67
0 days 07:07:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:07:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:07:30.000000000,221723366,83.33,10,6.67
0 days 07:07:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:07:30.000000000,349154287#5,83.33,10,6.67
0 days 07:07:30.000000000,5677903#1,83.33,10,6.67
0 days 07:08:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:08:00.000000000,-23334090#0,90,10,0
0 days 07:08:00.000000000,221723366,83.33,10,6.67
0 days 07:08:00.000000000,221731899#2.168,90,10,0
0 days 07:08:00.000000000,349154287#5,83.33,10,6.67
0 days 07:08:00.000000000,5677903#1,83.33,10,6.67
0 days 07:08:30.000000000,-139919720#0,100,0,0
0 days 07:08:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:08:30.000000000,221723366,100,0,0
0 days 07:08:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:08:30.000000000,349154287#5,83.33,10,6.67
0 days 07:08:30.000000000,5677903#1,83.33,10,6.67
0 days 07:09:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:09:00.000000000,-23334090#0,96.67,3.33,0
0 days 07:09:00.000000000,221723366,83.33,10,6.67
0 days 07:09:00.000000000,221731899#2.168,96.67,3.33,0
0 days 07:09:00.000000000,349154287#5,83.33,10,6.67
0 days 07:09:00.000000000,5677903#1,83.33,10,6.67
0 days 07:09:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:09:30.000000000,-23334090#0,90,10,0
0 days 07:09:30.000000000,221723366,83.33,10,6.67
0 days 07:09:30.000000000,221731899#2.168,90,10,0
0 days 07:09:30.000000000,349154287#5,83.33,10,6.67
0 days 07:09:30.000000000,5677903#1,83.33,10,6.67
0 days 07:10:00.000000000,-139919720#0,100,0,0
0 days 07:10:00.000000000,-23334090#0,93.33,6.67,0
0 days 07:10:00.000000000,221723366,100,0,0
0 days 07:10:00.000000000,221731899#2.168,93.33,6.67,0
0 days 07:10:00.000000000,349154287#5,83.33,10,6.67
0 days 07:10:00.000000000,5677903#1,83.33,10,6.67
0 days 07:10:30.000000000,-139919720#0,83.33,10,6.67
0 days 07:10:30.000000000,-23334090#0,96.67,3.33,0
0 days 07:10:30.000000000,221723366,83.33,10,6.67
0 days 07:10:30.000000000,221731899#2.168,96.67,3.33,0
0 days 07:10:30.000000000,349154287#5,83.33,10,6.67
0 days 07:10:30.000000000,5677903#1,83.33,10,6.67
0 days 07:11:00.000000000,-139919720#0,83.33,10,6.67
0 days 07:11:00.000000000,-23334090#0,90,10,0
0 days 07:11:00.000000000,221723366,83.33,10,6.67
0 days 07:11:00.000000000,221731899#2.168,90,10,0
0 days 07:11:00.000000000,349154287#5,83.33,10,6.67
0 days 07:11:00.000000000,5677903#1,83.33,10,6.67
0 days 07:11:30.000000000,-139919720#0,100,0,0
0 days 07:11:30.000000000,-23334090#0,93.33,6.67,0
0 days 07:11:30.000000000,221723366,100,0,0
0 days 07:11:30.000000000,221731899#2.168,93.33,6.67,0
0 days 07:11:30.000000000,349154287#5,83.33,10,6.67
0 days 07:11:30.000000000,5677903#1,83.33,10,6.67
