Link_ID,Lane,stopline_X,stopline_Y,link_length,link_width,Link_direction
-139919720#0,0,6418.19377,12617.21674,480.30559,29.529,N
-139919720#0,1,6397.35942,12625.6161,480.30559,29.529,N
-139919720#0,2,6376.52507,12634.01546,480.30559,29.529,N
221723366,0,6292.46585,12718.7965,306.60945,39.372,S
221723366,1,6352.31129,12716.10608,306.60945,39.372,S
221723366,2,6412.12392,12713.44847,306.60945,39.372,S
221723366,3,6471.96936,12710.75805,306.60945,39.372,S
349154287#5,0,5426.74119,15172.72202,68.67133,49.215,N
349154287#5,1,5415.052628,15167.78412,68.67133,49.215,N
349154287#5,2,5403.364065,15162.84621,68.67133,49.215,N
349154287#5,3,5391.675503,15157.9083,68.67133,49.215,N
349154287#5,4,5379.98694,15152.9704,68.67133,49.215,N
5677903#1,0,5240.34758,15342.2841,185.99989,39.372,S
5677903#1,1,5253.022083,15347.40246,185.99989,39.372,S
5677903#1,2,5265.70971,15352.52082,185.99989,39.372,S
5677903#1,3,5278.37437,15357.63918,185.99989,39.372,S
-23334090#0,0,7409.41668,10860.96306,309.20144,29.529,N
-23334090#0,1,7396.210655,10852.28481,309.20144,29.529,N
-23334090#0,2,7383.00463,10843.60657,309.20144,29.529,N
221731899#2.168,0,7264.98706,10985.14891,260.67545,29.529,S
221731899#2.168,1,7279.02974,10992.77724,260.67545,29.529,S
221731899#2.168,2,7293.07242,11000.40556,260.67545,29.529,S
