time,id,type,link,lane,x,y,angle,speed.mph,pos,accel.fpss
0.00,1_4_0_1,5018,5677903#1,1,5192.913552,15503.543803199998,158.58,0.0,16.732284,0.0
0.00,24_31_0_0,1509,23334065#2,0,9151.2142036,8786.9425384,284.38,0.0,5.249344000000001,0.0
0.00,B38_0_1,1509,-46121861#1,0,5655.8072676,13026.3455612,117.04,0.0,26.574804,0.0
0.00,B62_0_1,1509,221605483#0,0,4635.9581536,15242.028046800002,92.15,0.0,26.574804,0.0
0.10,1_4_0_1,5018,5677903#1,1,5192.9463604,15503.445377999999,158.58,0.6934514,16.8307092,10.1049872
0.10,24_31_0_0,1509,23334065#2,0,9151.181395200001,8786.9425384,284.38,0.2908022,5.2821524,4.2322836
0.10,B38_0_1,1509,-46121861#1,0,5655.840076,13026.3127528,117.04,0.2013246,26.607612399999997,2.952756
0.10,B62_0_1,1509,221605483#0,0,4635.990962,15242.028046800002,92.15,0.2013246,26.607612399999997,2.9199476
0.20,1_4_0_1,5018,5677903#1,1,5193.0447856,15503.281335999998,158.58,1.3645334,17.0275596,10.006561999999999
0.20,24_31_0_0,1509,23334065#2,0,9151.08297,8786.9753468,284.38,0.5816044,5.3805776,4.2322836
0.20,B38_0_1,1509,-46121861#1,0,5655.9056928,13026.2799444,117.04,0.4026492,26.6732292,2.9199476
0.20,B62_0_1,1509,221605483#0,0,4636.056578799999,15242.028046800002,92.15,0.4026492,26.6732292,2.9199476
0.30,1_4_0_1,5018,5677903#1,1,5193.1432108,15502.9860604,158.58,2.0579848000000003,17.3228352,9.9737536
0.30,24_31_0_0,1509,23334065#2,0,9150.9845448,8787.008155200001,284.38,0.8724066000000001,5.5118111999999995,4.265092
0.30,B38_0_1,1509,-46121861#1,0,5655.9713096000005,13026.247136,117.04,0.6039738000000001,26.738846000000002,2.8543308
0.30,B62_0_1,1509,221605483#0,0,4636.155003999999,15241.9952384,92.15,0.6039738000000001,26.738846000000002,2.9199476
0.40,1_4_0_1,5018,5677903#1,1,5193.2744444,15502.625167999999,158.58,2.7290668,17.749344400000002,9.9081368
0.40,24_31_0_0,1509,23334065#2,0,9150.8205028,8787.0409636,284.38,1.1408394000000002,5.6758532,4.10105
0.40,B38_0_1,1509,-46121861#1,0,5656.0697348,13026.214327599999,117.04,0.782929,26.870079599999997,2.8871392
0.40,B62_0_1,1509,221605483#0,0,4636.2534292,15241.9952384,92.15,0.782929,26.870079599999997,2.8543308
0.50,1_4_0_1,5018,5677903#1,1,5193.4712948,15502.1658504,158.58,3.4001488,18.241470399999997,9.9409452
0.50,24_31_0_0,1509,23334065#2,0,9150.590844,8787.106580399999,284.38,1.4316416,5.8727036,4.10105
0.50,B38_0_1,1509,-46121861#1,0,5656.2009683999995,13026.1487108,117.04,0.9842536000000001,27.001313200000002,2.8215224
0.50,B62_0_1,1509,221605483#0,0,4636.4174712,15241.9952384,92.15,0.9842536000000001,27.001313200000002,2.8543308
0.60,1_4_0_1,5018,5677903#1,1,5193.7009536,15501.608107600001,158.58,4.0712308,18.8320216,9.875328399999999
0.60,24_31_0_0,1509,23334065#2,0,9150.361185200001,8787.1393888,284.38,1.7224438000000002,6.1351708,4.1666668
0.60,B38_0_1,1509,-46121861#1,0,5656.3650104,13026.0502856,117.04,1.1855782000000001,27.198163599999997,2.8871392
0.60,B62_0_1,1509,221605483#0,0,4636.5815132,15241.9952384,92.15,1.1855782000000001,27.198163599999997,2.8871392
0.70,1_4_0_1,5018,5677903#1,1,5193.9306123999995,15500.951939599998,158.58,4.7423128000000005,19.520998,9.7112864
0.70,24_31_0_0,1509,23334065#2,0,9150.0659096,8787.237814,284.38,1.9908766000000002,6.4304464,4.1666668
0.70,B38_0_1,1509,-46121861#1,0,5656.5618607999995,13025.9518604,117.04,1.3869028,27.395014,2.9199476
0.70,B62_0_1,1509,221605483#0,0,4636.7783635999995,15241.9952384,92.15,1.3645334,27.395014,2.8215224
0.80,1_4_0_1,5018,5677903#1,1,5194.225888,15500.230154800001,158.58,5.391025400000001,20.3083996,9.3832024
0.80,24_31_0_0,1509,23334065#2,0,9149.737825600001,8787.303430799999,284.38,2.2816788000000003,6.7585304,4.10105
0.80,B38_0_1,1509,-46121861#1,0,5656.7587112,13025.8534352,117.04,1.565858,27.6246728,2.7559055999999997
0.80,B62_0_1,1509,221605483#0,0,4637.008022399999,15241.96243,92.15,1.565858,27.6246728,2.8543308
0.90,1_4_0_1,5018,5677903#1,1,5194.553972,15499.3771364,158.58,6.0621074,21.194226399999998,10.006561999999999
0.90,24_31_0_0,1509,23334065#2,0,9149.3769332,8787.401856,284.38,2.5501116,7.1194228,4.1666668
0.90,B38_0_1,1509,-46121861#1,0,5656.98837,13025.75501,117.04,1.7671826000000002,27.88714,2.8871392
0.90,B62_0_1,1509,221605483#0,0,4637.2704896000005,15241.96243,92.15,1.7671826000000002,27.88714,2.8543308
1.00,1_4_0_1,5018,5677903#1,1,5194.914864400001,15498.4585012,158.58,6.7555588,22.2112868,10.0393704
1.00,24_31_0_0,1509,23334065#2,0,9148.9832324,8787.5002812,284.38,2.8409138,7.545932,3.9698164
1.00,4_1_0_2,5018,41381890#0.0,1,5448.326946,14386.2209328,90.84,0.0,16.732284,0.0
1.00,B38_0_1,1509,-46121861#1,0,5657.250837199999,13025.6237764,117.04,1.9685072000000001,28.1496072,2.8871392
1.00,B62_0_1,1509,221605483#0,0,4637.5657652,15241.96243,92.15,1.9685072000000001,28.1496072,2.8215224
1.10,1_4_0_1,5018,5677903#1,1,5195.3085652,15497.4742492,158.58,7.381902,23.2611556,9.186352
1.10,24_31_0_0,1509,23334065#2,0,9148.5567232,8787.6315148,284.38,3.1093466,8.005249599999999,4.0026247999999995
1.10,4_1_0_2,5018,41381890#0.0,1,5448.4253712,14386.2209328,90.84,0.6934514,16.8307092,10.1049872
1.10,B38_0_1,1509,-46121861#1,0,5657.5133044,13025.4597344,117.04,2.1474624,28.4776912,2.7887139999999997
1.10,B62_0_1,1509,221605483#0,0,4637.8610407999995,15241.929621599998,92.15,2.1474624,28.4776912,2.7887139999999997
1.20,1_4_0_1,5018,5677903#1,1,5195.7350744000005,15496.3587636,158.58,8.0306146,24.442258,9.7112864
1.20,24_31_0_0,1509,23334065#2,0,9148.0645972,8787.72994,284.38,3.3777794,8.4973756,4.10105
1.20,4_1_0_2,5018,41381890#0.0,1,5448.6222216,14386.2209328,90.84,1.3645334,17.0275596,10.0721788
1.20,B38_0_1,1509,-46121861#1,0,5657.8413884,13025.3285008,117.04,2.348787,28.838583599999996,2.7559055999999997
1.20,B62_0_1,1509,221605483#0,0,4638.2219332,15241.929621599998,92.15,2.348787,28.8057752,2.8215224
1.30,1_4_0_1,5018,5677903#1,1,5196.194391999999,15495.177661200001,158.58,8.7016966,25.7217856,9.8097116
1.30,24_31_0_0,1509,23334065#2,0,9147.5396628,8787.8611736,284.38,3.6462122,9.02231,3.8713911999999997
1.30,4_1_0_2,5018,41381890#0.0,1,5448.9174972,14386.2209328,90.84,2.0579848000000003,17.3228352,10.006561999999999
1.30,B38_0_1,1509,-46121861#1,0,5658.1694724,13025.1316504,117.04,2.5277422,29.199476,2.7887139999999997
1.30,B62_0_1,1509,221605483#0,0,4638.5828255999995,15241.929621599998,92.15,2.5277422,29.199476,2.6902888
1.40,1_4_0_1,5018,5677903#1,1,5196.7193264,15493.8981336,158.58,9.3504092,27.0997384,9.5472444
1.40,24_31_0_0,1509,23334065#2,0,9146.98192,8788.0252156,284.38,3.9370144000000002,9.612861200000001,4.1338584
1.40,4_1_0_2,5018,41381890#0.0,1,5449.3440064,14386.2209328,90.84,2.7290668,17.749344400000002,9.8097116
1.40,B38_0_1,1509,-46121861#1,0,5658.4975564,13024.9676084,117.04,2.7290668,29.5931768,2.8543308
1.40,B62_0_1,1509,221605483#0,0,4638.9765264,15241.896813199999,92.15,2.7066974,29.5931768,2.6574804000000003
1.50,1_4_0_1,5018,5677903#1,1,5197.244260799999,15492.5529892,158.58,9.9767524,28.576116400000004,9.2847772
1.50,24_31_0_0,1509,23334065#2,0,9146.391368800001,8788.1564492,284.38,4.2278166,10.2362208,4.2322836
1.50,4_1_0_2,5018,41381890#0.0,1,5449.8361324,14386.2209328,90.84,3.4225182000000003,18.241470399999997,10.137795599999999
1.50,B38_0_1,1509,-46121861#1,0,5658.8912572,13024.770757999999,117.04,2.9303914000000004,30.019686,2.8871392
1.50,B62_0_1,1509,221605483#0,0,4639.403035599999,15241.896813199999,92.15,2.8856526000000002,30.019686,2.7887139999999997
1.60,1_4_0_1,5018,5677903#1,1,5197.8020036,15491.0766112,158.58,10.6702038,30.150919599999998,10.137795599999999
1.60,24_31_0_0,1509,23334065#2,0,9145.7352008,8788.3204912,284.38,4.4962494,10.892388799999999,4.1994752
1.60,4_1_0_2,5018,41381890#0.0,1,5450.4266836,14386.2209328,90.84,4.0936002,18.8320216,9.84252
1.60,B38_0_1,1509,-46121861#1,0,5659.3177664,13024.573907599999,117.04,3.1093466,30.4790036,2.7559055999999997
1.60,B62_0_1,1509,221605483#0,0,4639.8623532,15241.864004800002,92.15,3.0869771999999998,30.4790036,2.6574804000000003
1.70,1_4_0_1,5018,5677903#1,1,5198.4253632,15489.5346164,158.58,11.318916399999999,31.791339599999997,9.3175856
1.70,24_31_0_0,1509,23334065#2,0,9145.0790328,8788.5173416,284.38,4.7646822,11.581365199999999,3.8385827999999997
1.70,4_1_0_2,5018,41381890#0.0,1,5451.1484684,14386.1881244,90.84,4.787051600000001,19.5538064,10.170604
1.70,B38_0_1,1509,-46121861#1,0,5659.7442756,13024.3442488,117.04,3.3106712000000003,30.971129599999998,2.8215224
1.70,B62_0_1,1509,221605483#0,0,4640.3216708,15241.864004800002,92.15,3.2659324,30.938321199999997,2.7887139999999997
1.80,1_4_0_1,5018,5677903#1,1,5199.0487228,15487.8941964,158.58,11.9452596,33.5301848,9.2519688
1.80,24_31_0_0,1509,23334065#2,0,9144.357247999998,8788.6813836,284.38,5.0331150000000004,12.335958399999999,4.0354332
1.80,4_1_0_2,5018,41381890#0.0,1,5451.93587,14386.1881244,90.84,5.480503000000001,20.341208,10.1049872
1.80,B38_0_1,1509,-46121861#1,0,5660.2035932,13024.11459,117.04,3.4896264000000006,31.4632556,2.8543308
1.80,B62_0_1,1509,221605483#0,0,4640.846605199999,15241.8311964,92.15,3.4672570000000005,31.4632556,2.8543308
1.90,1_4_0_1,5018,5677903#1,1,5199.7376992,15486.188159599998,158.58,12.593972200000001,35.400263599999995,9.5472444
1.90,24_31_0_0,1509,23334065#2,0,9143.602654799999,8788.878234,284.38,5.3239172,13.12336,4.1338584
1.90,4_1_0_2,5018,41381890#0.0,1,5452.8216968,14386.155315999998,90.84,6.106846200000001,21.2270348,9.4816276
1.90,B38_0_1,1509,-46121861#1,0,5660.6629108,13023.8521228,117.04,3.690951,32.020998399999996,2.8543308
1.90,B62_0_1,1509,221605483#0,0,4641.3715396,15241.798388,92.15,3.6462122,31.98819,2.7559055999999997
2.00,11_29_0_3,4518,46121854,0,6054.298094,12822.1132712,116.93,0.0,15.091864,0.0
2.00,1_4_0_1,5018,5677903#1,1,5200.4266756,15484.3836976,158.58,13.2203154,37.335959200000005,9.1535436
2.00,24_31_0_0,1509,23334065#2,0,9142.8152532,8789.1078928,284.38,5.6147194,13.94357,4.1666668
2.00,4_1_0_2,5018,41381890#0.0,1,5453.8387572,14386.155315999998,90.84,6.7779282,22.2440952,9.84252
