Link,Width
1,18.3
2,18.3
3,14.64
4,18.3
5,3.66
6,7.32
7,3.66
8,3.66
9,7.32
10,3.66
11,7.32
12,3.66
13,3.66
14,3.66
15,7.32
16,3.66
17,10.98
18,14.64
19,18.3
20,10.98
21,10.98
22,3.66
23,10.98
24,3.66
25,7.32
26,3.66
27,14.64
28,10.98
29,3.66
30,18.3
31,3.66
32,7.32
33,7.32
34,10.98
35,7.32
36,18.3
37,7.32
38,3.66
39,3.66
40,3.66
41,14.64
42,3.66
43,21.96
44,7.32
45,14.64
46,7.32
47,10.98
48,18.3
49,7.32
50,3.66
51,21.96
52,7.32
53,7.32
54,3.66
55,7.32
56,3.66
57,10.98
58,7.32
59,10.98
60,3.66
61,3.66
62,10.98
63,10.98
64,7.32
65,3.66
66,3.66
67,10.98
68,3.66
69,10.98
70,3.66
71,3.66
72,3.66
73,10.98
74,7.32
75,3.66
76,7.32
77,10.98
78,7.32
79,7.32
80,3.66
81,3.66
82,7.32
83,7.32
84,3.66
85,7.32
86,7.32
87,7.32
88,3.66
89,7.32
90,3.66
91,7.32
92,7.32
93,10.98
94,10.98
95,3.66
96,3.66
97,7.32
98,3.66
99,7.32
100,3.66
101,3.66
102,3.66
103,3.66
104,3.66
105,3.66
106,7.32
107,3.66
108,3.66
109,7.32
110,7.32
111,7.32
112,3.66
113,7.32
114,3.66
115,14.64
116,21.96
117,7.32
118,3.66
119,3.66
120,3.66
121,7.32
122,3.66
123,3.66
124,3.66
125,3.66
126,3.66
127,3.66
128,7.32
129,3.66
130,7.32
131,3.66
132,3.66
133,3.66
134,3.66
135,7.32
136,7.32
137,7.32
138,7.32
139,7.32
140,3.66
141,7.32
142,7.32
143,7.32
144,3.66
145,7.32
146,3.66
147,18.3
148,10.98
149,3.66
150,18.3
151,14.64
152,7.32
153,7.32
154,7.32
155,14.64
156,7.32
157,3.66
158,7.32
159,10.98
160,7.32
161,7.32
162,10.98
163,10.98
164,3.66
165,14.64
166,18.3
167,7.32
168,7.32
169,3.66
170,10.98
171,3.66
172,7.32
173,21.96
174,7.32
175,3.66
176,3.66
177,3.66
178,7.32
179,3.66
180,3.66
181,3.66
182,3.66
183,3.66
184,3.66
185,7.32
186,10.98
187,3.66
188,3.66
189,7.32
190,7.32
191,0.91
192,7.32
193,0.91
194,7.32
195,3.66
196,14.64
197,14.64
198,14.64
199,14.64
200,3.66
201,10.98
202,3.66
203,10.98
204,3.66
205,3.66
206,10.98
207,14.64
208,14.64
209,10.98
210,10.98
211,10.98
212,10.98
213,10.98
214,14.64
215,10.98
216,3.66
217,7.32
218,18.3
219,10.98
220,7.32
221,14.64
222,10.98
223,18.3
224,14.64
225,14.64
226,14.64
227,14.64
228,7.32
229,14.64
230,7.32
231,10.98
232,3.66
233,7.32
234,14.64
235,10.98
236,7.32
237,3.66
238,3.66
239,10.98
240,10.98
241,10.98
242,10.98
243,10.98
244,7.32
245,14.64
246,7.32
247,10.98
248,3.66
249,4.57
250,7.32
251,4.57
252,4.57
253,3.66
254,3.66
255,3.66
256,4.57
257,3.66
258,3.66
259,7.32
260,3.66
261,4.27
262,10.98
263,7.32
264,3.66
265,14.64
266,3.66
267,3.66
268,18.3
269,14.64
270,3.66
271,9.14
272,8.54
273,3.66
274,4.57
275,7.32
276,10.05
277,7.32
278,18.3
279,4.57
280,3.66
281,10.98
282,10.05
283,14.64
284,7.32
285,18.3
286,14.64
287,10.98
288,3.66
289,10.98
290,7.32
291,14.64
292,4.57
293,14.64
294,7.32
295,13.4
296,3.66
297,3.66
298,7.32
299,7.32
300,10.98
301,0.91
302,21.96
303,18.3
304,14.64
305,3.66
306,13.4
307,3.66
308,16.75
309,3.66
310,13.4
311,7.32
312,3.66
313,13.4
314,3.66
315,7.32
316,25.62
317,20.1
318,16.75
319,21.96
320,21.96
321,10.98
322,7.32
323,4.27
324,7.32
325,7.32
326,7.32
327,18.3
328,14.64
329,7.32
330,14.64
331,0.91
332,0.91
333,7.32
334,10.98
335,3.66
336,3.66
337,10.98
338,3.66
339,7.32
340,3.66
341,14.64
342,7.32
343,7.32
344,1.83
345,1.83
346,3.66
347,7.32
348,10.98
349,10.98
350,0.91
351,10.98
352,10.98
353,14.64
354,10.98
355,10.98
356,10.98
357,3.66
358,10.98
359,10.98
360,10.98
361,10.98
362,0.91
363,10.98
364,10.98
365,10.98
366,10.98
367,10.98
368,21.96
369,21.96
370,7.32
371,14.64
372,7.32
373,7.32
374,10.98
375,10.98
376,3.66
377,3.66
378,0.91
379,18.3
380,7.32
381,3.66
382,16.75
383,7.32
384,7.32
385,7.32
386,7.32
387,7.32
388,14.64
389,7.32
390,3.66
